timestamp;resource;state
01-06-2023 05:10:13.899;agv2;idle
01-06-2023 05:10:13.899;agv2;busy
01-06-2023 05:10:24.098;cell1;idle
01-06-2023 05:10:24.098;cell1;busy
01-06-2023 05:10:56.593;agv1;idle
01-06-2023 05:10:56.593;agv1;busy
01-06-2023 05:11:42.545;cell2;idle
01-06-2023 05:11:42.545;cell2;busy
01-06-2023 05:16:12.326;agv1;idle
01-06-2023 05:16:12.326;agv1;busy
01-06-2023 05:16:54.557;cell1;idle
01-06-2023 05:16:54.557;cell1;busy
01-06-2023 05:17:13.950;agv2;idle
01-06-2023 05:17:13.950;agv2;busy
01-06-2023 05:18:20.977;cell2;idle
01-06-2023 05:18:20.977;cell2;busy
01-06-2023 05:20:41.156;agv1;idle
01-06-2023 05:20:41.156;agv1;busy
01-06-2023 05:22:28.227;cell1;idle
01-06-2023 05:22:28.227;cell1;busy
01-06-2023 05:23:43.160;agv2;idle
01-06-2023 05:23:43.160;agv2;busy
01-06-2023 05:26:02.926;agv1;idle
01-06-2023 05:26:02.926;agv1;busy
01-06-2023 05:26:10.551;cell2;idle
01-06-2023 05:26:10.551;cell2;busy
01-06-2023 05:29:59.865;cell1;idle
01-06-2023 05:29:59.865;cell1;busy
01-06-2023 05:30:02.382;agv2;idle
01-06-2023 05:30:02.382;agv2;busy
01-06-2023 05:31:25.150;agv1;idle
01-06-2023 05:31:25.150;agv1;busy
01-06-2023 05:34:16.548;cell2;idle
01-06-2023 05:34:16.548;cell2;failure
01-06-2023 05:37:59.177;cell1;idle
01-06-2023 05:37:59.177;cell1;busy
01-06-2023 05:38:01.488;agv2;idle
01-06-2023 05:38:01.488;agv2;busy
01-06-2023 05:41:37.301;agv1;idle
01-06-2023 05:41:37.301;agv1;busy
01-06-2023 05:44:04.747;agv2;idle
01-06-2023 05:44:04.747;agv2;busy
01-06-2023 05:45:00.876;cell1;idle
01-06-2023 05:45:00.876;cell1;busy
01-06-2023 05:51:12.547;agv1;idle
01-06-2023 05:51:12.547;agv1;busy
01-06-2023 05:53:12.959;cell1;idle
01-06-2023 05:53:12.959;cell1;busy
01-06-2023 05:57:36.343;agv1;idle
01-06-2023 05:57:36.343;agv1;busy
01-06-2023 06:00:02.375;cell1;idle
01-06-2023 06:00:02.375;cell1;busy
01-06-2023 06:04:03.658;agv1;idle
01-06-2023 06:04:03.658;agv1;busy
01-06-2023 06:06:52.585;cell1;idle
01-06-2023 06:06:52.585;cell1;failure
01-06-2023 06:18:37.114;cell2;repaired
01-06-2023 06:18:37.114;cell2;busy
01-06-2023 06:25:20.592;agv2;idle
01-06-2023 06:25:20.592;agv2;failure
01-06-2023 06:27:49.121;cell2;idle
01-06-2023 06:27:49.121;cell2;busy
01-06-2023 06:35:02.282;cell2;idle
01-06-2023 06:35:02.282;cell2;busy
01-06-2023 06:41:41.777;cell2;idle
01-06-2023 06:41:41.777;cell2;busy
01-06-2023 06:50:24.571;cell2;idle
01-06-2023 06:50:24.571;cell2;busy
01-06-2023 06:58:28.716;cell2;idle
01-06-2023 06:58:28.716;cell2;busy
01-06-2023 07:05:51.219;cell2;idle
01-06-2023 07:14:02.233;cell1;repaired
01-06-2023 07:14:02.233;cell1;busy
01-06-2023 07:17:23.519;agv1;idle
01-06-2023 07:17:23.519;agv1;failure
01-06-2023 07:20:07.856;cell1;idle
01-06-2023 07:20:07.856;cell1;busy
01-06-2023 07:21:18.672;cell2;failure
01-06-2023 07:27:02.554;cell1;idle
01-06-2023 07:27:02.554;cell1;busy
01-06-2023 07:33:00.587;cell1;idle
01-06-2023 07:33:00.587;cell1;busy
01-06-2023 07:41:29.858;cell1;idle
01-06-2023 07:41:29.858;cell1;busy
01-06-2023 07:49:03.255;cell1;idle
01-06-2023 07:49:03.255;cell1;busy
01-06-2023 07:56:18.797;cell1;idle
01-06-2023 08:04:46.694;cell2;repaired
01-06-2023 08:39:55.743;cell1;failure
01-06-2023 09:16:27.223;cell2;failure
01-06-2023 09:16:50.720;cell1;repaired
01-06-2023 09:17:55.525;agv2;repaired
01-06-2023 09:17:55.525;agv2;busy
01-06-2023 09:23:54.042;agv2;idle
01-06-2023 09:23:54.042;agv2;busy
01-06-2023 09:30:14.969;agv2;idle
01-06-2023 09:30:14.969;agv2;busy
01-06-2023 09:36:51.305;agv2;idle
01-06-2023 09:36:51.305;agv2;busy
01-06-2023 09:44:50.485;agv2;idle
01-06-2023 09:44:50.485;agv2;busy
01-06-2023 09:50:15.743;agv2;idle
01-06-2023 09:50:15.743;agv2;busy
01-06-2023 09:54:15.576;agv1;repaired
01-06-2023 09:54:15.576;agv1;busy
01-06-2023 09:58:10.497;agv1;idle
01-06-2023 09:58:10.497;cell1;busy
01-06-2023 09:58:10.497;agv1;busy
01-06-2023 10:01:43.694;agv1;idle
01-06-2023 10:01:43.694;agv1;busy
01-06-2023 10:04:44.744;cell1;idle
01-06-2023 10:04:44.744;cell1;busy
01-06-2023 10:05:33.269;cell2;repaired
01-06-2023 10:05:33.269;cell2;busy
01-06-2023 10:05:51.761;agv1;idle
01-06-2023 10:05:51.761;agv1;busy
01-06-2023 10:10:46.263;agv1;idle
01-06-2023 10:10:46.263;agv1;busy
01-06-2023 10:11:08.935;cell1;idle
01-06-2023 10:11:08.935;cell1;busy
01-06-2023 10:11:11.158;agv2;idle
01-06-2023 10:11:11.158;agv2;busy
