timestamp;resource;state
01-06-2023 04:53:03.319;cell2;idle
01-06-2023 04:53:03.319;cell2;busy
01-06-2023 04:58:59.969;agv2;idle
01-06-2023 04:58:59.969;agv2;busy
01-06-2023 05:02:32.480;agv1;repaired
01-06-2023 05:02:32.480;agv1;busy
01-06-2023 05:03:00.670;cell2;idle
01-06-2023 05:03:00.670;cell2;busy
01-06-2023 05:06:13.419;agv1;idle
01-06-2023 05:06:13.419;agv1;busy
01-06-2023 05:09:19.622;agv2;idle
01-06-2023 05:09:19.622;agv2;busy
01-06-2023 05:10:15.933;agv1;idle
01-06-2023 05:10:15.933;agv1;busy
01-06-2023 05:10:31.870;cell2;idle
01-06-2023 05:10:31.870;cell2;busy
01-06-2023 05:10:46.284;cell1;repaired
01-06-2023 05:10:46.284;cell1;busy
01-06-2023 05:15:22.840;agv1;idle
01-06-2023 05:15:22.840;agv1;busy
01-06-2023 05:15:28.740;agv2;idle
01-06-2023 05:15:28.740;agv2;busy
01-06-2023 05:18:05.114;cell1;idle
01-06-2023 05:18:05.114;cell1;busy
01-06-2023 05:18:21.911;cell2;idle
01-06-2023 05:18:21.911;cell2;busy
01-06-2023 05:18:26.837;agv1;idle
01-06-2023 05:18:26.837;agv1;busy
01-06-2023 05:21:52.318;agv1;idle
01-06-2023 05:21:52.318;agv1;busy
01-06-2023 05:25:22.852;cell1;idle
01-06-2023 05:25:22.852;cell1;busy
01-06-2023 05:25:30.767;agv2;idle
01-06-2023 05:25:30.767;agv2;failure
01-06-2023 05:26:35.064;agv1;idle
01-06-2023 05:26:35.064;agv1;busy
01-06-2023 05:27:56.805;cell2;idle
01-06-2023 05:27:56.805;cell2;failure
01-06-2023 05:30:53.429;agv1;idle
01-06-2023 05:30:53.429;agv1;busy
01-06-2023 05:32:03.703;cell1;idle
01-06-2023 05:32:03.703;cell1;busy
01-06-2023 05:34:27.133;agv1;idle
01-06-2023 05:34:27.133;agv1;busy
01-06-2023 05:38:25.834;agv1;idle
01-06-2023 05:38:25.834;agv1;busy
01-06-2023 05:39:51.695;cell1;idle
01-06-2023 05:39:51.695;cell1;busy
01-06-2023 05:42:30.537;agv1;idle
01-06-2023 05:42:30.537;agv1;busy
01-06-2023 05:45:05.100;cell1;idle
01-06-2023 05:45:05.100;cell1;busy
01-06-2023 05:48:41.658;agv1;idle
01-06-2023 05:48:41.658;agv1;busy
01-06-2023 05:51:22.509;cell1;idle
01-06-2023 05:51:22.509;cell1;busy
01-06-2023 05:55:28.062;agv1;idle
01-06-2023 05:55:28.062;agv1;busy
01-06-2023 05:57:51.842;cell1;idle
01-06-2023 05:57:51.842;cell1;busy
01-06-2023 06:01:15.661;agv1;idle
01-06-2023 06:01:15.661;agv1;busy
01-06-2023 06:03:55.723;cell1;idle
01-06-2023 06:03:55.723;cell1;busy
01-06-2023 06:06:22.286;agv1;idle
01-06-2023 06:06:22.286;agv1;busy
01-06-2023 06:12:05.717;cell1;idle
01-06-2023 06:12:05.717;cell1;busy
01-06-2023 06:16:11.570;agv1;idle
01-06-2023 06:16:11.570;agv1;busy
01-06-2023 06:16:36.985;cell1;idle
01-06-2023 06:16:36.985;cell1;busy
01-06-2023 06:21:49.759;agv1;idle
01-06-2023 06:21:49.759;agv1;busy
01-06-2023 06:22:29.499;cell1;idle
01-06-2023 06:22:29.499;cell1;busy
01-06-2023 06:24:15.950;cell2;repaired
01-06-2023 06:24:15.950;cell2;busy
01-06-2023 06:26:50.364;agv1;idle
01-06-2023 06:26:50.364;agv1;busy
01-06-2023 06:31:20.435;cell1;idle
01-06-2023 06:31:20.435;cell1;busy
01-06-2023 06:31:25.188;cell2;idle
01-06-2023 06:31:25.188;cell2;busy
01-06-2023 06:35:43.922;agv1;idle
01-06-2023 06:35:43.922;agv1;failure
01-06-2023 06:39:01.233;cell2;idle
01-06-2023 06:39:01.233;cell2;busy
01-06-2023 06:40:28.698;cell1;idle
01-06-2023 06:40:28.698;cell1;failure
01-06-2023 06:48:14.925;cell2;idle
01-06-2023 06:48:14.925;cell2;busy
01-06-2023 06:56:27.435;cell2;idle
01-06-2023 06:56:27.435;cell2;busy
