timestamp;order_id;resource;event;event_type
01-06-2023 01:12:46.006;452;mes;order_completed;NA
01-06-2023 01:12:46.006;453;mes;enter_cell1;NA
01-06-2023 01:12:46.006;453;cell1;cell1_operation;start
01-06-2023 01:13:05.058;456;mes;new_order;NA
01-06-2023 01:13:05.058;456;mes;direct_to_line1;NA
01-06-2023 01:15:38.010;455;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:15:38.010;456;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:17:49.871;457;mes;new_order;NA
01-06-2023 01:17:49.871;457;mes;direct_to_line1;NA
01-06-2023 01:19:21.396;453;cell1;cell1_operation;end
01-06-2023 01:19:21.396;453;mes;order_completed;NA
01-06-2023 01:19:21.396;454;mes;enter_cell1;NA
01-06-2023 01:19:21.396;454;cell1;cell1_operation;start
01-06-2023 01:19:51.828;458;mes;new_order;NA
01-06-2023 01:19:51.828;458;mes;direct_to_line1;NA
01-06-2023 01:20:56.882;456;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:20:56.882;457;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:21:18.193;459;mes;new_order;NA
01-06-2023 01:21:18.193;459;mes;direct_to_line2;NA
01-06-2023 01:21:18.193;459;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 01:21:19.703;460;mes;new_order;NA
01-06-2023 01:21:19.703;460;mes;direct_to_line2;NA
01-06-2023 01:24:41.470;457;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:24:41.470;458;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:25:04.243;461;mes;new_order;NA
01-06-2023 01:25:04.243;461;mes;direct_to_line2;NA
01-06-2023 01:25:50.474;459;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 01:25:50.474;460;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 01:25:52.349;454;cell1;cell1_operation;end
01-06-2023 01:25:52.349;454;mes;order_completed;NA
01-06-2023 01:25:52.349;455;mes;enter_cell1;NA
01-06-2023 01:25:52.349;455;cell1;cell1_operation;start
01-06-2023 01:26:16.581;462;mes;new_order;NA
01-06-2023 01:26:16.581;462;mes;direct_to_line1;NA
01-06-2023 01:29:40.390;458;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:30:29.411;463;mes;new_order;NA
01-06-2023 01:30:29.411;463;mes;direct_to_line2;NA
01-06-2023 01:30:54.959;464;mes;new_order;NA
01-06-2023 01:30:54.959;464;mes;direct_to_line1;NA
01-06-2023 01:31:09.207;460;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 01:31:09.207;461;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 01:32:16.923;455;cell1;cell1_operation;end
01-06-2023 01:32:16.923;455;mes;order_completed;NA
01-06-2023 01:33:41.176;465;mes;new_order;NA
01-06-2023 01:33:41.176;465;mes;direct_to_line1;NA
01-06-2023 01:35:34.099;466;mes;new_order;NA
01-06-2023 01:35:34.099;466;mes;direct_to_line2;NA
01-06-2023 01:37:30.226;467;mes;new_order;NA
01-06-2023 01:37:30.226;467;mes;direct_to_line1;NA
01-06-2023 01:38:23.281;461;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 01:40:10.369;468;mes;new_order;NA
01-06-2023 01:40:10.369;468;mes;direct_to_line1;NA
01-06-2023 01:43:50.330;469;mes;new_order;NA
01-06-2023 01:43:50.330;469;mes;direct_to_line1;NA
01-06-2023 01:44:41.308;470;mes;new_order;NA
01-06-2023 01:44:41.308;470;mes;direct_to_line1;NA
01-06-2023 01:50:23.139;471;mes;new_order;NA
01-06-2023 01:50:23.139;471;mes;direct_to_line1;NA
01-06-2023 01:50:25.220;472;mes;new_order;NA
01-06-2023 01:50:25.220;472;mes;direct_to_line2;NA
01-06-2023 01:53:35.328;473;mes;new_order;NA
01-06-2023 01:53:35.328;473;mes;direct_to_line1;NA
01-06-2023 01:55:37.758;474;mes;new_order;NA
01-06-2023 01:55:37.758;474;mes;direct_to_line2;NA
01-06-2023 01:57:36.318;475;mes;new_order;NA
01-06-2023 01:57:36.318;475;mes;direct_to_line1;NA
01-06-2023 01:59:53.283;476;mes;new_order;NA
01-06-2023 01:59:53.283;476;mes;direct_to_line1;NA
01-06-2023 02:01:10.922;477;mes;new_order;NA
01-06-2023 02:01:10.922;477;mes;direct_to_line1;NA
01-06-2023 02:04:12.668;459;mes;enter_cell2;NA
01-06-2023 02:04:12.668;459;cell2;cell2_operation;start
01-06-2023 02:06:35.378;478;mes;new_order;NA
01-06-2023 02:06:35.378;478;mes;direct_to_line2;NA
01-06-2023 02:07:00.967;479;mes;new_order;NA
01-06-2023 02:07:00.967;479;mes;direct_to_line2;NA
01-06-2023 02:10:47.482;480;mes;new_order;NA
01-06-2023 02:10:47.482;480;mes;direct_to_line1;NA
01-06-2023 02:13:13.717;481;mes;new_order;NA
01-06-2023 02:13:13.717;481;mes;direct_to_line1;NA
01-06-2023 02:14:47.010;459;cell2;cell2_operation;end
01-06-2023 02:14:47.010;459;mes;order_completed;NA
01-06-2023 02:14:47.010;460;mes;enter_cell2;NA
01-06-2023 02:14:47.010;460;cell2;cell2_operation;start
